#Dev nodeId x y z SF DR ConsEnergy RemEnergy 
ED 359 315.431 1315 18.0336 12 0 0.222384 5.26765 
ED 360 1649.53 -443.446 9.81007 12 0 0.222384 5.26765 
ED 361 1626.37 1538.24 1.49071 12 0 0.222384 5.26765 
ED 362 1525.64 -1364.57 20.6941 12 0 0.222384 5.26765 
ED 363 -664.292 1785.71 14.0309 12 0 0.222384 5.26765 
ED 364 -367.511 -1972.68 17.449 12 0 0.222384 5.26765 
ED 365 -1094.82 -803.197 18.7144 7 5 0.0183865 5.47164 
ED 366 733.891 1275.85 4.92135 12 0 0.222384 5.26765 
ED 367 1410.01 -1192.31 25.4429 11 1 0.116244 5.37378 
ED 368 -148.091 -765.488 8.71006 12 0 0.222384 5.26765 
ED 369 1751.31 392.641 22.3116 12 0 0.222384 5.26765 
ED 370 -1792.64 679.531 37.2025 12 0 0.222384 5.26765 
ED 371 1446.9 31.302 8.36917 12 0 0.222384 5.26765 
ED 372 -1445.93 1459.38 15.0599 12 0 0.222384 5.26765 
ED 373 728.621 -533.891 9.59136 12 0 0.222384 5.26765 
ED 374 836.627 -1017.59 39.1174 7 5 0.0183865 5.47164 
ED 375 -591.126 -625.277 2.51584 12 0 0.222384 5.26765 
ED 376 355.82 -1970.89 30.4273 12 0 0.222384 5.26765 
ED 377 -1098.43 2149.58 20.5537 12 0 0.222384 5.26765 
ED 378 -1593.55 571.337 11.8963 12 0 0.222384 5.26765 
ED 379 1918.61 -831.474 19.047 12 0 0.222384 5.26765 
ED 380 -1268.59 -166.576 34.8834 12 0 0.222384 5.26765 
ED 381 -1277.87 886.534 8.28587 12 0 0.222384 5.26765 
ED 382 237.03 -946.541 39.0311 7 5 0.0183865 5.47164 
ED 383 -872.748 -1681.43 11.5435 12 0 0.222384 5.26765 
ED 384 -99.7827 -1356.07 3.78294 12 0 0.222384 5.26765 
ED 385 634.969 865.67 18.1444 12 0 0.222384 5.26765 
ED 386 -1568.97 1438.86 28.7092 12 0 0.222384 5.26765 
ED 387 -997.461 194.041 5.82402 12 0 0.222384 5.26765 
ED 388 500.203 -1627.66 11.0064 12 0 0.222384 5.26765 
ED 389 1146.58 -558.067 39.9443 7 5 0.0183865 5.47164 
ED 390 8.39359 -537.969 6.67599 12 0 0.222384 5.26765 
ED 391 -1449.36 -528.658 22.8879 12 0 0.222384 5.26765 
ED 392 948.105 -704.907 38.0351 7 5 0.0183865 5.47164 
ED 393 1218.19 768.578 18.5641 12 0 0.222384 5.26765 
